,sitename,X.x,distances,rank,quartile,dispersion,X.y,site_transect,transect_no,CORAL,OI,MA,MA_noHALI,BCA,CCA,SAND,FCA,RUB,TURF,HALI,BSR
90,Fagatele,15,10.73174196,11,2,Med,86,Fagatele_2,2,46.92307692,0.769230769,5.384615385,1.538461538,0,24.61538462,0,13.07692308,0,9.230769231,3.846153846,3.161290323
91,Laulii,16,15.70880581,22,4,High,95,Laulii_5,5,17.69230769,10.76923077,3.076923077,1.538461538,5.384615385,33.84615385,0,25.38461538,0,3.846153846,1.538461538,1.9
92,Laulii,16,15.70880581,22,4,High,96,Laulii_6,6,22.30769231,25.38461538,0.769230769,0.769230769,7.692307692,24.61538462,0,12.30769231,0.769230769,6.153846154,0,2.84
93,Laulii,16,15.70880581,22,4,High,94,Laulii_4,4,34.61538462,2.307692308,0,0,3.076923077,40,1.538461538,12.30769231,0,6.153846154,0,4.208333333
94,Laulii,16,15.70880581,22,4,High,91,Laulii_1,1,16.92307692,0,3.076923077,3.076923077,6.153846154,23.84615385,0,46.92307692,0,3.076923077,0,0.884057971
95,Laulii,16,15.70880581,22,4,High,92,Laulii_2,2,17.6,4,0.8,0.8,2.4,36,0,34.4,0.8,4,0,1.428571429
96,Laulii,16,15.70880581,22,4,High,93,Laulii_3,3,25.38461538,6.923076923,1.538461538,1.538461538,0,38.46153846,0,25.38461538,0,2.307692308,0,2.184210526
97,Leone2,17,9.487372262,7,1,Low,102,Leone2_6,6,38.46153846,1.538461538,14.61538462,14.61538462,0,31.53846154,0,12.30769231,0,1.538461538,0,2.459459459
98,Leone2,17,9.487372262,7,1,Low,101,Leone2_5,5,42.30769231,2.307692308,3.846153846,3.846153846,0,20,0,14.61538462,0,16.92307692,0,1.760869565
99,Leone2,17,9.487372262,7,1,Low,99,Leone2_3,3,48.46153846,0.769230769,12.30769231,12.30769231,0,26.15384615,0,9.230769231,0,3.076923077,0,3.03125
100,Leone2,17,9.487372262,7,1,Low,97,Leone2_1,1,50.76923077,2.307692308,3.846153846,3.846153846,0,28.46153846,0,13.07692308,0,1.538461538,0,4.291666667
101,Leone2,17,9.487372262,7,1,Low,98,Leone2_2,2,44.61538462,1.538461538,13.07692308,13.07692308,0.769230769,22.30769231,0,11.53846154,0,6.153846154,0,2.2
102,Leone2,17,9.487372262,7,1,Low,100,Leone2_4,4,48.46153846,0,8.461538462,6.153846154,0,24.61538462,0,13.07692308,0,5.384615385,2.307692308,3.0625
103,Maloata,18,9.476535062,6,1,Low,105,Maloata_3,3,55.38461538,0,0,0,2.307692308,20,0,20.76923077,0,1.538461538,0,3.482758621
104,Maloata,18,9.476535062,6,1,Low,103,Maloata_1,1,56.15384615,0,0,0,6.153846154,18.46153846,0,16.15384615,0,3.076923077,0,4.2
105,Maloata,18,9.476535062,6,1,Low,107,Maloata_5,5,62.30769231,0,0,0,0,26.15384615,0,10.76923077,0,0.769230769,0,7.666666667
106,Maloata,18,9.476535062,6,1,Low,106,Maloata_4,4,60.76923077,0,0,0,0,16.15384615,0,22.30769231,0,0.769230769,0,3.333333333
107,Maloata,18,9.476535062,6,1,Low,108,Maloata_6,6,68.46153846,0,0,0,0,18.46153846,0,12.30769231,0,0.769230769,0,6.647058824
108,Maloata,18,9.476535062,6,1,Low,104,Maloata_2,2,45.38461538,0,0.769230769,0,0.769230769,23.84615385,0,29.23076923,0,0,0.769230769,2.421052632
109,Masausi,19,8.579751964,3,1,Low,113,Masausi_5,5,36.92307692,0,3.846153846,0,1.538461538,16.15384615,0,39.23076923,0,2.307692308,3.846153846,1.407407407
110,Masausi,19,8.579751964,3,1,Low,109,Masausi_1,1,48.46153846,1.538461538,0.769230769,0,0.769230769,13.84615385,0,20.76923077,0,13.84615385,0.769230769,1.844444444
111,Masausi,19,8.579751964,3,1,Low,110,Masausi_2,2,46.15384615,0,3.076923077,0,2.307692308,16.15384615,0,29.23076923,0,3.076923077,3.076923077,2.095238095
112,Masausi,19,8.579751964,3,1,Low,111,Masausi_3,3,50,0,0,0,1.538461538,13.07692308,0,32.30769231,0,3.076923077,0,1.826086957
113,Masausi,19,8.579751964,3,1,Low,114,Masausi_6,6,48.46153846,0,3.846153846,0,3.846153846,10.76923077,0,29.23076923,0,3.846153846,3.846153846,2.023255814
114,Masausi,19,8.579751964,3,1,Low,112,Masausi_4,4,38.46153846,0,1.538461538,0,2.307692308,19.23076923,0,32.30769231,0,5.384615385,1.538461538,1.632653061
115,Masefau,20,15.72464319,23,4,High,115,Masefau_1,1,8.461538462,0,20,0,16.15384615,0.769230769,9.230769231,11.53846154,6.153846154,27.69230769,20,1.156862745
116,Masefau,20,15.72464319,23,4,High,120,Masefau_6,6,0.769230769,0,6.923076923,0,20,0,30,11.53846154,15.38461538,15.38461538,6.923076923,1.028571429
117,Masefau,20,15.72464319,23,4,High,116,Masefau_2,2,6.923076923,0.769230769,10.76923077,1.538461538,14.61538462,1.538461538,13.07692308,8.461538462,8.461538462,35.38461538,9.230769231,0.711864407
118,Masefau,20,15.72464319,23,4,High,117,Masefau_3,3,0.769230769,0,16.92307692,0,10.76923077,6.153846154,8.461538462,11.53846154,25.38461538,20,16.92307692,1.097560976
119,Masefau,20,15.72464319,23,4,High,119,Masefau_5,5,4.615384615,0,10,0,16.92307692,0,14.61538462,3.076923077,13.84615385,36.92307692,10,0.788461538
120,Masefau,20,15.72464319,23,4,High,118,Masefau_4,4,4.8,0,9.6,0,8,0,24.8,4,7.2,41.6,9.6,0.49122807
121,Matuu,21,12.70539993,17,3,Med,124,Matuu_4,4,21.53846154,2.307692308,5.384615385,4.615384615,3.076923077,17.69230769,0,33.07692308,3.076923077,13.84615385,0.769230769,0.835820896
122,Matuu,21,12.70539993,17,3,Med,122,Matuu_2,2,27.69230769,2.307692308,5.384615385,3.846153846,1.538461538,30.76923077,0,24.61538462,2.307692308,5.384615385,1.538461538,1.818181818
123,Matuu,21,12.70539993,17,3,Med,123,Matuu_3,3,15.38461538,0.769230769,6.153846154,6.153846154,0,40,2.307692308,18.46153846,12.30769231,4.615384615,0,1.894736842
124,Matuu,21,12.70539993,17,3,Med,126,Matuu_6,6,21.53846154,7.692307692,3.846153846,3.076923077,0.769230769,40,0,23.84615385,0,2.307692308,0.769230769,2.157894737
125,Matuu,21,12.70539993,17,3,Med,121,Matuu_1,1,26.15384615,1.538461538,1.538461538,1.538461538,6.153846154,32.30769231,0.769230769,29.23076923,0,2.307692308,0,1.953488372
126,Matuu,21,12.70539993,17,3,Med,125,Matuu_5,5,16.92307692,1.538461538,3.846153846,1.538461538,0,36.15384615,0,40,0,1.538461538,2.307692308,1.285714286
127,Nua,22,14.47482313,21,3,Med,131,Nua_5,5,20.76923077,0,14.61538462,12.30769231,0,30.76923077,0,13.84615385,0,20,2.307692308,1.166666667
128,Nua,22,14.47482313,21,3,Med,132,Nua_6,6,32.30769231,0.769230769,22.30769231,18.46153846,2.307692308,14.61538462,0,16.15384615,1.538461538,10,3.846153846,1.189655172
129,Nua,22,14.47482313,21,3,Med,129,Nua_3,3,31.53846154,1.538461538,21.53846154,21.53846154,0,6.923076923,1.538461538,17.69230769,0,19.23076923,0,0.657894737
130,Nua,22,14.47482313,21,3,Med,127,Nua_1,1,22.30769231,0.769230769,33.84615385,33.84615385,0,17.69230769,0,14.61538462,0,10.76923077,0,0.675324675
131,Nua,22,14.47482313,21,3,Med,128,Nua_2,2,27.69230769,0.769230769,23.07692308,23.07692308,0,6.153846154,0,18.46153846,0,23.07692308,0,0.523809524
132,Nua,22,14.47482313,21,3,Med,130,Nua_4,4,20.76923077,1.538461538,27.69230769,22.30769231,0,18.46153846,0,25.38461538,0,6.153846154,5.384615385,0.828571429
133,Nuuuli,23,10.63713575,10,2,Med,135,Nuuuli_3,3,4.615384615,0.769230769,21.53846154,21.53846154,0,38.46153846,0,32.30769231,0,2.307692308,0,0.767123288
134,Nuuuli,23,10.63713575,10,2,Med,136,Nuuuli_4,4,12.30769231,1.538461538,25.38461538,25.38461538,0,32.30769231,0,26.15384615,0,2.307692308,0,0.828571429
135,Nuuuli,23,10.63713575,10,2,Med,137,Nuuuli_5,5,6.923076923,0,20,20,0,38.46153846,0,32.30769231,0,2.307692308,0,0.830985915
136,Nuuuli,23,10.63713575,10,2,Med,138,Nuuuli_6,6,3.846153846,22.30769231,22.30769231,22.30769231,0,24.61538462,0,23.84615385,0,3.076923077,0,0.578125
137,Nuuuli,23,10.63713575,10,2,Med,134,Nuuuli_2,2,5.384615385,1.538461538,21.53846154,21.53846154,0,38.46153846,0,29.23076923,0,3.846153846,0,0.802816901
138,Nuuuli,23,10.63713575,10,2,Med,133,Nuuuli_1,1,13.84615385,4.615384615,13.07692308,13.07692308,0,44.61538462,0,20.76923077,0,3.076923077,0,1.583333333
139,Oa,24,6.621669196,1,1,Low,142,Oa_4,4,57.69230769,0,0,0,3.846153846,13.07692308,0,13.07692308,0,12.30769231,0,2.939393939
140,Oa,24,6.621669196,1,1,Low,139,Oa_1,1,58.46153846,2.307692308,0.769230769,0.769230769,0,13.07692308,2.307692308,9.230769231,0,13.84615385,0,3
141,Oa,24,6.621669196,1,1,Low,140,Oa_2,2,60,0,1.538461538,0.769230769,0,16.92307692,0,6.153846154,1.538461538,13.84615385,0.769230769,3.740740741
