"","sitename","dispersion","site_transect","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"81","Fagasa2","High","Fagasa2_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,4.61538461538461,0,0,5.38461538461539,0,0.769230769230769,0,0,6.92307692307692,3.07692307692308,0,0,0,0
"82","Fagasa2","High","Fagasa2_4",0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,6.15384615384615,0,2.30769230769231,0,0,4.61538461538461,10.7692307692308,0,0,0,0
"83","Fagasa2","High","Fagasa2_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,6.92307692307692,0.769230769230769,16.9230769230769,0,0,0,0
"84","Fagasa2","High","Fagasa2_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,7.69230769230769,7.69230769230769,13.8461538461538,0,0,0,0
"85","Fagatele","Med","Fagatele_6",6.15384615384615,0,0,4.61538461538461,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,0,0,0.769230769230769,0.769230769230769,0,0,0,0,0,0,15.3846153846154,0,0,0,0,0.769230769230769,0,0,0,2.30769230769231,0,0,0,0
"86","Fagatele","Med","Fagatele_5",1.53846153846154,0,0,16.1538461538462,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,3.07692307692308,0,0,0,0,0.769230769230769,0,0,10,0,0,0.769230769230769,0,0.769230769230769,0,0,0,5.38461538461539,0,0,0,0
"87","Fagatele","Med","Fagatele_4",6.15384615384615,0,3.07692307692308,6.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0.769230769230769,0,0,0,0,0,1.53846153846154,0,0,10,0,0,2.30769230769231,0,0.769230769230769,0,0,0,4.61538461538461,0,0,0,0
"88","Fagatele","Med","Fagatele_1",6.15384615384615,0,10.7692307692308,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,5.38461538461539,0.769230769230769,0,0,0,0.769230769230769,1.53846153846154,0,0,2.30769230769231,0,0,0,0,1.53846153846154,0.769230769230769,1.53846153846154,0,7.69230769230769,0,0,0,0
"89","Fagatele","Med","Fagatele_3",12.3076923076923,0,0,1.53846153846154,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,2.30769230769231,0.769230769230769,0.769230769230769,11.5384615384615,0,0,1.53846153846154,0,0.769230769230769,0,0,0,15.3846153846154,0,0,0,0
"90","Fagatele","Med","Fagatele_2",18.4615384615385,0,0,0,0,0,0,0,0,0,6.15384615384615,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,1.53846153846154,0,0,7.69230769230769,0,0,0,0,0.769230769230769,0,5.38461538461539,0,5.38461538461539,0,0,0,0
"91","Laulii","High","Laulii_5",0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,1.53846153846154,1.53846153846154,0,0,0,0,12.3076923076923,0,0,0,0
"92","Laulii","High","Laulii_6",0.769230769230769,0,0,1.53846153846154,0.769230769230769,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0.769230769230769,1.53846153846154,0,0,0,13.0769230769231,0,0,0,0
"93","Laulii","High","Laulii_4",1.53846153846154,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,4.61538461538461,0,0,0,11.5384615384615,0,0,0.769230769230769,0,0,0,0,0,13.0769230769231,0,0,0,0
